instance,type,num items,min i. value,max i. value,avg i. value,sum i. value,c. is rect,num grid points,num sides c.,area c.,min i. sides,max i. sides,avg i. sides,min i. area,max i. area,avg i. area,avg i-c area ratio,lower bound,upper bound,num i. packed,total score,improvement,loss,coverage,utilization,ms
jigsaw_cf2_x1e8d2b3_39,JIGSAW,39,14,408,100.4615385,3918,FALSE,1.57E+16,19,1.57E+16,3,10,4.897435897,1.27E+14,3.92E+15,9.62E+14,0.061169535,307,0,9,254,0.172638436,3664,2.40E+15,0.152350931,0
jigsaw_rcf4_37b8d52e_1338,JIGSAW,1338,11,1494,196.5866966,263033,FALSE,2.20E+16,15,2.20E+16,3,20,4.761584454,2.11E+12,7.45E+13,2.27E+13,0.001033016,15793,0,69,3126,0.802064206,259907,7.03E+14,0.031996771,0
jigsaw_cf2_x38b54e9_31,JIGSAW,31,6,433,100.4516129,3114,FALSE,1.57E+16,15,1.57E+16,3,10,4.516129032,5.88E+13,4.48E+15,1.04E+15,0.065729668,166,0,10,170,-0.024096386,2944,1.71E+15,0.108594922,0
jigsaw_cf1_1ae14c9d_1379,JIGSAW,1379,1,1,1,1379,FALSE,2.55E+16,11,2.55E+16,3,20,4.707759246,2.78E+10,1.50E+15,7.58E+13,0.002968483,323,0,34,34,0.894736842,1345,3.62E+15,0.141724255,0
jigsaw_rcf1_6d3a7c3b_1325,JIGSAW,1325,1,3,1.995471698,2644,FALSE,1.62E+16,13,1.62E+16,3,19,4.773584906,1.45E+11,1.24E+14,1.70E+13,0.00104932,811,0,197,197,0.757090012,2447,3.29E+15,0.202457719,0
jigsaw_cf2_ebad6b02_335,JIGSAW,335,3,995,100.5074627,33670,FALSE,2.37E+16,13,2.37E+16,3,18,4.749253731,2.96E+12,1.14E+15,1.15E+14,0.004841687,2028,0,53,888,0.562130178,32782,9.89E+14,0.041731661,0
jigsaw_rcf1_x251b042_3318,JIGSAW,3318,1,3,1.999095841,6633,FALSE,2.13E+16,11,2.13E+16,3,20,4.76702833,1.71E+10,1.25E+14,1.43E+13,6.75E-04,1290,0,253,253,0.803875969,6380,3.70E+15,0.173988785,0
jigsaw_rcf3_5a515084_1325,JIGSAW,1325,1,4089,201.1358491,266505,FALSE,1.58E+16,19,1.58E+16,3,19,4.788679245,3.63E+10,4.52E+14,2.43E+13,0.001537057,39502,0,564,15742,0.601488532,250763,2.10E+15,0.132751918,0
jigsaw_cf4_x412b2f8_32731,JIGSAW,32731,1,3786,100.5042315,3289604,FALSE,1.75E+16,12,1.75E+16,3,20,4.834713269,6.64E+08,2.06E+13,1.02E+12,5.81E-05,299252,0,14162,107641,0.640299814,3181963,1.08E+15,0.061809217,0
jigsaw_rcf2_534443c6_61,JIGSAW,61,6,2062,195.1639344,11905,FALSE,2.02E+16,11,2.02E+16,3,12,4.786885246,2.24E+13,5.16E+15,5.01E+14,0.024823915,1126,0,19,608,0.460035524,11297,1.80E+15,0.089092879,0
jigsaw_cf2_x338dc47_32816,JIGSAW,32816,1,763,100.4992686,3297984,FALSE,1.54E+16,16,1.54E+16,3,20,4.820301073,1.95E+08,5.82E+12,7.64E+11,4.94E-05,177657,0,9720,140903,0.2068818,3157081,1.04E+15,0.067270505,0
