instance,type,num items,min i. value,max i. value,avg i. value,sum i. value,c. is rect,num grid points,num sides c.,area c.,min i. sides,max i. sides,avg i. sides,min i. area,max i. area,avg i. area,avg i-c area ratio,lower bound,upper bound,num i. packed,total score,improvement,loss,coverage,utilization,ms
jigsaw_rcf1_e4f6ad12_331,JIGSAW,331,1,3,2.051359517,679,FALSE,1.84E+16,20,1.84E+16,3,19,4.637462236,1.09E+13,1.06E+15,1.64E+14,0.008925571,172,0,5,5,0.970930233,674,1.96E+15,0.106657452,0
jigsaw_rcf1_576b224d_3288,JIGSAW,3288,1,3,2.01703163,6632,FALSE,1.50E+16,15,1.50E+16,3,20,4.778284672,2.02E+10,1.69E+14,7.82E+12,5.21E-04,3226,0,45,53,0.983570986,6579,3.61E+15,0.240046615,0
jigsaw_cf1_fa228ab6_337,JIGSAW,337,1,1,1,337,FALSE,1.65E+16,13,1.65E+16,3,19,4.851632047,3.74E+12,5.47E+14,8.19E+13,0.004946803,93,0,11,11,0.88172043,326,3.96E+15,0.239436779,0
jigsaw_rcf4_x4ee7385_1339,JIGSAW,1339,30,1284,200.1613144,268016,FALSE,1.41E+16,20,1.41E+16,3,20,4.775952203,2.93E+12,3.87E+13,1.27E+13,9.01E-04,39403,0,195,21707,0.44910286,246309,2.85E+15,0.202616745,0
random_cf1_x5c10455_10000,RANDOM,10000,1,1,1,10000,FALSE,4.94E+13,19,4.94E+13,3,21,5.6546,1000000,9.12E+10,1.72E+10,3.48E-04,1876,0,426,426,0.772921109,9574,2.33E+13,0.471242945,0
random_rcf2_5c2f5d8b_200,RANDOM,200,3,984,205.265,41053,FALSE,6.47E+12,5,6.47E+12,3,16,4.485,3.00E+08,1.76E+11,4.37E+10,0.006749421,9311,0,45,5397,0.420363011,35656,1.48E+12,0.229032756,0
random_cf1_x6c375be_50000,RANDOM,50000,1,1,1,50000,FALSE,7.52E+12,15,7.52E+12,3,21,4.64158,95000,5.32E+09,7.47E+08,9.93E-05,6680,0,1530,1530,0.770958084,48470,4.05E+12,0.538750931,0
random_rcf4_69d930c3_500,RANDOM,500,2,1383,199.556,99778,FALSE,2.34E+13,17,2.34E+13,3,19,4.228,4.50E+08,4.69E+11,9.99E+10,0.004265947,18024,0,54,8171,0.546660009,91607,8.29E+12,0.354096463,0
random_cf3_1c1ba767_50,RANDOM,50,3,253,100.54,5027,FALSE,4.98E+13,19,4.98E+13,3,7,4.44,5.00E+10,5.86E+12,1.73E+12,0.03483119,547,0,6,572,-0.045703839,4455,1.08E+13,0.216539389,0
random_cf1_54081766_500,RANDOM,500,1,1,1,500,FALSE,1.78E+13,17,1.78E+13,3,20,6.14,5.00E+08,4.12E+11,9.99E+10,0.00562452,86,0,20,20,0.76744186,480,5.46E+12,0.307183897,0
random_cf4_50e0d4d9_100,RANDOM,100,8,361,100.54,10054,FALSE,2.40E+12,8,2.40E+12,3,19,7.5,2.55E+09,1.13E+11,2.84E+10,0.011822851,1398,0,26,1369,0.02074392,8685,4.92E+11,0.204657449,0
random_rcf1_70921d4c_50000,RANDOM,50000,1,3,1.98784,99392,FALSE,1.49E+13,12,1.49E+13,3,22,6.67816,130000,5.31E+09,7.61E+08,5.10E-05,24920,0,4017,4491,0.819783307,94901,6.06E+12,0.406185529,0
random_cf2_x55f520f_50000,RANDOM,50000,1,644,100.49496,5024748,FALSE,7.93E+12,6,7.93E+12,3,22,6.86254,630000,4.93E+09,7.67E+08,9.67E-05,201709,0,2315,371843,-0.843462612,4652905,2.85E+12,0.359269766,0
random_rcf1_340f4443_500,RANDOM,500,1,3,2.028,1014,FALSE,3.97E+13,11,3.97E+13,3,20,5.216,3.05E+09,3.85E+11,9.90E+10,0.002493014,337,0,87,123,0.635014837,891,1.29E+13,0.324544512,0
random_cf1_x32f7db7_200,RANDOM,200,1,1,1,200,FALSE,4.22E+12,17,4.22E+12,3,21,5.97,1.55E+09,2.42E+11,5.42E+10,0.012830362,43,0,10,10,0.76744186,190,1.29E+12,0.304565042,0
random_rcf4_7cbb0868_50000,RANDOM,50000,1,2277,199.2999,9964995,FALSE,2.28E+13,9,2.28E+13,3,21,5.6303,50000,5.48E+09,7.31E+08,3.20E-05,2761678,0,10811,896183,0.675493305,9068812,7.11E+12,0.311223747,0
random_cf4_5f36961f_500,RANDOM,500,1,369,100.502,50251,FALSE,2.79E+13,12,2.79E+13,3,16,5.136,6.00E+08,3.69E+11,1.12E+11,0.004033892,8246,0,53,7995,0.030439001,42256,1.03E+13,0.370950294,0
random_rcf4_32e6daf1_10000,RANDOM,10000,1,1575,204.3297,2043297,FALSE,3.85E+13,20,3.85E+13,3,20,4.5829,1500000,9.83E+10,1.57E+10,4.09E-04,258047,0,634,99228,0.6154654,1944069,1.69E+13,0.439761164,0
